1
5,74.95396,71.27072
10,87.66114,81.21547
20,91.52854,88.95028
30,95.764275,92.449356
40,95.211784,95.027626
50,95.58011,91.52854
60,95.764275,95.027626
80,95.211784,94.10681
100,96.68508,94.10681
120,90.42358,92.26519
150,94.6593,95.027626
200,90.05525,91.896866
300,95.764275,95.39595
500,94.10681,91.71271

0.1
5,72.375694,72.00737
10,81.95212,80.66299
20,83.9779,92.08103
30,93.55433,89.50276
50,94.10681,92.449356
60,94.10681,91.896866
70,94.84346,90.7919
80,94.29098,90.97606
100,93.92265,91.16022
150,94.10681,90.7919
200,95.211784,90.05525
300,94.6593,90.42358
500,94.84346,93.55433

0.01
5,71.086555,68.32413
10,80.1105,76.61142
20,84.34622,83.9779
30,87.47698,86.92449
40,88.76611,87.84531
50,87.47698,87.66114
60,87.84531,88.029465
70,89.13444,88.029465
80,87.10866,87.292816
100,88.581955,86.92449
200,86.92449,87.10866
300,86.92449,88.029465
500,88.581955,88.21363
1000,88.029465,87.47698

1.5
10,83.425415,83.9779
20,87.84531,87.84531
30,94.10681,91.16022
40,95.94843,91.71271
50,95.39595,92.449356
60,95.39595,91.896866
70,94.6593,91.71271
80,95.58011,91.71271
100,94.84346,91.52854
200,94.475136,91.52854

3
10,75.87477,76.61142
20,87.66114,90.05525
30,93.186005,94.10681
50,91.71271,95.027626
80,91.896866,93.37016
100,95.94843,95.94843
150,95.027626,95.39595
200,95.211784,95.94843
500,95.211784,92.81768
1000,95.39595,95.027626
1500,95.211784,95.211784

10
10,88.76611,74.58563
20,84.34622,91.16022
50,95.94843,94.475136
70,96.1326,94.475136
100,96.1326,94.475136
150,96.1326,93.186005
200,96.1326,94.475136
