0.01
5,51.464436
10,65.48117
20, 78.45188
30,82.84519
50,85.56485
80,85.774055
100,84.728035
200,87.656906
300,86.40167
500, 85.774055
1000, 85.14645
0.1
5,30.334728
10,53.556484
20,78.242676
30,88.284515
50,88.70293
60,87.86611
80,88.49372
100,88.07532
200,89.12134
300,88.49372
500,88.07532
1
5, 29.916319
10,50.627617
20,84.10042
50,89.95816
80,89.53975
100,89.95816
200,88.70293
300,90.167366
300,90.58578
500,90.58578
1000,90.58578
1500,89.95816
0.005
50,84.51883
100,83.263596
300,83.05439
500,83.05439
1200,84.51883
1500,83.263596
0.0005
50,75.313805
100, 78.242676
300,81.58996
500, 82.63599
800,83.68201
3
50,89.53975
100,89.53975
200,90.37657
300,90.58578
500,89.95816
